Başlık, Vücut Kimliği, Duruş
" Hindistan Tecavüz Krizi, Kalabalığın Şok Edici Sahnelerle İddia Edilen Cinsel Saldırganı Hadım Etmesine Yol Açtı",2115, kabul etmek
" JJ Abrams, Disney'den 'Star Wars: The Force Awakens'ın Çıkış Tarihini Öne Çekmesini İstiyor",2084, tartışmak
 Nijerya: Ateşkesin bildirilmesinin ardından kaçırılan kız öğrencilerin geri dönmesine yönelik umutlar arttı,922, tartışmak
 Metropolitan polisi Banksy'nin tutuklandığı yönündeki haberleri yalanladı,949, kabul etmek
" Video: Denizci, Taliban keskin nişancı saldırısından sonra kaskı sayesinde kurtuldu",488, kabul etmek
 Militan Grup Suriye'de Amerikalı Gazeteciyi Öldürdüğünü Söyledi,2495, tartışmak
Boko Haram'ın 'Ateşkesi'nin İhlal Edilmesinin Ardından Kızların Serbest Bırakılmasına Yönelik Umutlar Tükendi,2463, tartışmak
" NASA, Nikaragua'daki kraterin meteordan kaynaklanıp kaynaklanmadığını sorguluyor",1661, tartışmak
 'Barda genç sarışın bir kadınla tanışan' oyuncunun testisleri çalındı,573, tartışmak
" CBI, 400 erkek takipçinin zorla hadım edildiği iddialarının ardından Dera şefine karşı 'suç komplosu' davası açtı",2336, tartışmak
 İddiaya Göre Brown'a Ateş Etme Kaydında Silah Sesleri Duyuluyor [SES],1818, tartışmak
 ABD'ye ait silahlı insansız hava araçlarının IŞİD liderini avlamak için Suriye üzerinde uçtuğu görüldü,1509, tartışmak
 IŞİD Videosu: Amerika'nın Havadan Attığı Silahlar Artık Bizim Elimizde,2168, tartışmak
" İki GOP Kongre Üyesi, Şüpheli Teröristlerin ABD-Meksika Sınırını Geçerken Yakalandığını Söyledi",855, tartışmak
 Vogue'un Fare İstilası: Rahatsız Edici Yeni Ayrıntılar,2064, kabul etmek
 DANIŞMANLIK-İslamcı isyancı lider ABD saldırısında öldürüldü - Somali hükümeti,313, aynı fikirde olmamak
" Video: Denizci, kaskı sayesinde Taliban keskin nişancısının kafasından vurulmaktan kurtuldu",2046, kabul etmek
 Hava Durumu Muhabiri Kar Üzerine Adını Yazarken Yakalandı Kamera Karşısına Çıkmaya HAZIR DEĞİLDİ (GÜNCELLENDİ),975, aynı fikirde olmamak
Lego'nun 1974'te ebeveynlere yazdığı cinsiyet eşitliği mektubu 40 yıl sonra bile yankılanıyor,1547, kabul etmek
" FIDEL CASTRO ÖLÜM İZLEMESİ: SÖYLENTİLER ISINIYOR, KÜBA İNKAR EDİYOR",1401, tartışmak
 Boko Haram ile varılan anlaşmanın ardından 200'den fazla kaçırılan Nijeryalı kız serbest bırakılacak,2530, tartışmak
" IŞİD, Amerikalı gazetecinin kafasını kestiğini iddia ediyor",2047, tartışmak
" IŞİD, kayıp ABD'li gazeteci James Foley'nin başının kesilerek öldürülmesini gösteren videoyu yayınladı",1471, tartışmak
 Evsiz Bir Adama 100 Dolar Verdikten Sonra Gizlice Onu Kameraya Çekti...,2061, kabul etmek
" Lynch çetesi, bir genci tecavüz etmeye çalışırken yakaladığı adamın penisini kesti",1476, tartışmak
 Tropikal örümcek Bali turistinin derisinin altına girdi,2293, tartışmak
 Lise öğrencisi borsada 72 milyon dolar kazandı,1987, tartışmak
" İngiliz rehine David Haines, IŞİD teröristleri tarafından başı kesilerek öldürüldü",2206, kabul etmek
" Kadın, Ting Su, Kocasının Kendi İkiziyle Aldattığını Buldu, Muhteşem Bir İntikam Aldı",1058, kabul etmek
" Kuzey Kore lideri Kim Jong-un kayıp değil, sadece ayak bileğinden ameliyat oldu",1081, tartışmak
 Raporlar: Öncü rap grubu Sugarhill Gang'in Big Bank Hank'i öldü,2398, tartışmak
Medya Başkan Yardımcısının 30 Kişilik Akşam Yemeği İçin 300.000 Dolar Ödediği Söyleniyor,2130, tartışmak
 Tropikal örümcek apandisit yarasından insanın derisinin altına girdi ve orada ÜÇ GÜN yaşadı,1602, tartışmak
" Kuzey Kore lideri Kim Jong-un'un gizemli hastalığı aslında iki kırık ayak bileği, diyor gazete",1081, tartışmak
 Jeh Johnson: Politikacılar IŞİD ve Ebola Üzerinden 'Korku Alevlerini Beslememeli',666, kabul etmek
" 'Amerikan bombalaması ölüm fermanımı imzaladı': Kayıp ABD'li gazeteci James Wright Foley, Obama'ya bir uyarı olarak IŞİD'in korkunç videosunda başını kesmesine rağmen yılmadan ölüme gidiyor",1093, tartışmak
" Ebola, Musul'daki IŞİD militanlarına bulaştı mı?",1778, tartışmak
" #IŞİD, ABD'ye #Irak'taki müdahalesine son vermesi için mesaj göndermek amacıyla foto muhabiri James Wright Foley'i başını keserek öldürdü.",1580, kabul etmek
 Christian Bale Steve Jobs'u canlandırmayacak,2455, tartışmak
" Gözlemciler, İslam Devleti'nin Askeri Jetlerde Pilotlara Eğitim Verdiğini Söylüyor",1115, tartışmak
" Uzman, Bunbury'li Dylan Thomas'ın mide örümceği hikayesine şüpheyle yaklaşıyor",1864, tartışmak
 BATMAN VS. SUPERMAN BATMOBILE ÇALINDI,1528, tartışmak
 Videoda IŞİD'in foto muhabiri James Foley'i başını keserek öldürdüğü görülüyor,694, tartışmak
Comcast Tor'u engelliyor,1403, aynı fikirde olmamak
 Personel Muhabiri,707, tartışmak
" Lübnan, El Bağdadi'nin eşini ve oğlunu gözaltına aldı",2337, aynı fikirde olmamak
" Irak Sağlık Bakanlığı, IŞİD savaşçılarının Ebola'ya yakalandığına dair haberlerin 'yanlış' olduğunu söyledi",2025, tartışmak
 Kim Jong-un'un Her İki Bileğini Kırdığı ve Hastaneye Kaldırıldığı İddia Ediliyor,1854, tartışmak
 Yeni iOS 8 hatası iCloud belgelerinizin tamamını silebilir,2054, tartışmak
 Boko Haram ateşkes anlaşması yaptığını yalanladı,2403, tartışmak
" Video, Militanlar Tarafından ABD'li Gazetecinin Başının Kesildiğini Gösteriyor",1471, tartışmak
 Örümcek Avustralyalı Adamın Apandisit Yarasına Girdi (VİDEO),1321, aynı fikirde olmamak
 Kansas City'de Ebola vakası olmamasına rağmen söylenti viral oldu,1943, kabul etmek
 Cihatçı John'un MASKESİ ORTAYA ÇIKARILDI: İslam Devleti katili Batı Londralı Muhammed Emwazi olarak adlandırıldı,1780, tartışmak
 Balkabağı Baharatlı Kondomlar Dünyayı Temel Çocuklardan Kurtaracak Tek Şey Olabilir,1400, tartışmak
" DNA testleri, Lübnan DEAŞ'ının sahte pasaportlarla yakalandıktan sonra DEAŞ lideri el-Bağdadi'nin eski eşini ve kızını tuttuğunu kanıtlıyor",1004, tartışmak
" CNN, Michael Brown Saldırısından İddia Edilen Ses Kaydını Yayımladı",1605, tartışmak
Bugatti Veyron Penis Grafitisiyle Mi Tahrip Edildi? Viral Fotoğraf Göründüğü Gibi Değil,1148, kabul etmek
 24 yıl işe gitmeyen adam sonunda kovuldu,1951, kabul etmek
" Michael Phelps'in iddia edilen kız arkadaşı, interseks olarak doğduğunu söylüyor",1349, kabul etmek
 Nijeryalılar Boko Haram'ın 'ateşkesinin' ihlal edilmesinin ardından kızların serbest bırakılmasından şüphe ediyor,1821, tartışmak
 Bilim İnsanları Nikaragua'da Kraterin Meteordan Kaynaklandığından Şüpheleniyor,2475, kabul etmek
 Nikaragua'daki meteor çarpması uzmanları şaşırttı,715, tartışmak
" DHS, Kongre Üyesinin IŞİD'in Güney Sınırına Sızdığı İddiasını Reddetti",2367, aynı fikirde olmamak
" Hayır, Irak'ta herhangi bir Ebola vakası yok",2003, tartışmak
" ACİL: IŞİD, Saklaviye'de klor gazı saldırısıyla 300 Irak askerini öldürdü",969, kabul etmek
" NBC METEOROLOJİ UZMANI MIKE SEIDEL, KAMERA KARINDA MI İŞİYORDU? SİNİRLİ BRIAN WILLIAMS AÇIKLIYOR",1968, tartışmak
" Boko Haram ateşkesi kabul etti, kız öğrenciler serbest bırakıldı",2356, tartışmak
" Söylenti: Altın Apple Watch Edition'ın fiyatı 5.000 dolara, çelik versiyonu ise 500 dolara kadar çıkıyor ve 14 Şubat'ta piyasaya sürülecek",2188, tartışmak
 Kayıp Uçaklar,1958, tartışmak
 Borno eyaletinde şiddet artarken Boko Haram ateşkesi göz ardı edildi,2139, aynı fikirde olmamak
 Batman Yaklaşan Biyografide Steve Jobs'ı Canlandıracak,1846, aynı fikirde olmamak
 RAPOR: Michael Brown Saldırısının İddiaya Göre Yeni Ses Kaydı,2235, tartışmak
"Yetkililer ve ailesi, Amerikalı gazetecinin başının kesildiğini gösteren videonun gerçek olduğuna inandıklarını söyledi",2388, tartışmak
" Hayır, o lise öğrencisi hisse senedi ticareti yaparak 72 milyon dolar kazanmadı",2407, kabul etmek
 Tiger Woods'a gizli PED cezası mı veriliyor?,757, tartışmak
" Pentagon, Eş-Şebab liderinin Somali'deki hava saldırısında öldürüldüğünü doğruladı",1084, kabul etmek
" Fotoğrafta: ABD yetkililerinin 11 Eylül yıldönümünde terör saldırısı düzenlemek için kullanılabilecekleri uyarısında bulunduğu sırada, Libyalı İslamcı isyancılar Trablus havaalanından ele geçirilen uçaklarla poz veriyor",1958, kabul etmek
 IŞİD'in ABD Sınırını Geçtiğine Dair Söylentilerin Neden Bitmediği İşte Bu Nedenle,108, tartışmak
 Nikaragua meteoru: Uzmanlar gizemli meteorun geçen Pitbull asteroitinden düşüp düşmediğini anlamaya çalışıyor,2154, tartışmak
" Anne, İkiz Kızını Kurtarmak İçin İkiz Oğlunu Satmayı Teklif Etti",1627, kabul etmek
 Soğuk Hindi,1949, kabul etmek
 Apple Watch piyasaya sürüldüğünde denemek için Apple Store'da randevu alabilirsiniz,2056, tartışmak
 Savaş Anıtı'nda asker vuruldu; Parlamento'da birden fazla el ateş açıldı,2156, kabul etmek
 Meksika'da 43 Öğrencinin Kaybolduğu Yerin Yakınında Toplu Mezarlar Bulundu,366, tartışmak
Jose Canseco kendi eline ateş etti,2000, tartışmak
" Yetkililer, IŞİD liderinin ailesinin Lübnan tarafından tutuklandığını söyledi",2268, tartışmak
 Üst Düzey Batılı İstihbarat Yetkilisi Londra Rapçisi Abdel Majed Abdel Bary'nin Foley Cinayetinde Şüpheli Olduğunu Doğruladı,1314, tartışmak
 Bali örümceği Avustralyalının göğsünün altına giriyor,986, aynı fikirde olmamak
 Apple'ın 12 inçlik Retina MacBook Air'ı Sanatçının Tasvirleriyle Sergilendi,1362, tartışmak
" Rahibe doğum yaptı, bebeği tutmayı düşünüyor",534, tartışmak
 Pentagon: Somali terör örgütü lideri ABD hava saldırısında öldürüldü,2374, tartışmak
 Irak medyası: IŞİD militanları Ebola'ya yakalandı,2138, tartışmak
 Macaulay Culkin Öldü mü?,2341, tartışmak
 Nijerya'da bildirilen saldırıların ardından Boko Haram'ın 'ateşkesi' şüpheyle karşılanıyor,1540, aynı fikirde olmamak
 IŞİD'in infazcısı 'Cihatçı John'un Muhammed Emwazi olduğu ortaya çıktı,1374, kabul etmek
" Nijerya, Boko Haram'ın Kaçırılan Kız Öğrencileri Serbest Bırakacağını İddia Ediyor",2356, tartışmak
" CNN, Michael Brown'ın Vurulmasıyla İlgili İddia Edilen Ses Kaydını Yayımladı",1818, tartışmak
" IŞİD, ABD Hava İndirme Biriminden Malzeme Aldığını İddia Ediyor",1597, tartışmak
 Apple Watch'un Mart ayı sonlarında piyasaya sürülmesi bekleniyor,2273, tartışmak
 Nijerya: Ateşkesin bildirilmesinin ardından kaçırılan kız öğrencilerin geri dönmesine yönelik umutlar arttı,2463, tartışmak
 Nikaragua'nın başkenti Managua'da meteor krater açtı,1825, tartışmak
GOP Temsilcisi: 'En Az On IŞİD Savaşçısı Meksika Sınırını Geçerken Yakalandı',416, tartışmak
 'Örümcek Adam' ezildi: Perth uzmanları örümceklerin yuva yaptığı iddialarını çürütüyor,2293, tartışmak
 Tanrı Bir Kadındır – Dirilen Baba Anlatıldı,1849, kabul etmek
" Nijeryalı Yetkililer, Boko Haram'ın Kaçırılan Kızları Serbest Bırakabileceğini Söyledi",922, tartışmak
" Matt Taibbi, First Look Media'dan izinli",879, kabul etmek
" NASA, Managua patlamasının bir meteor olmadığını öne sürüyor",1213, kabul etmek
" Hayır, Bir Örümcek Bir Adamın Derisinin Altına Girip Orada Günlerce Yaşamaz",2338, tartışmak
 Evsiz Bir Adamın 100 Dolarla Yaptıkları Sizi Şaşırtacak (VİDEO),2305, kabul etmek
" Hayır, bir örümcek (muhtemelen) birkaç gün boyunca bir adamın vücudunda sürünmedi",1860, aynı fikirde olmamak
" Aaron Sorkin, Christian Bale'in Steve Jobs'ı Oynayacağını Doğruladı",1217, tartışmak
 Kuzey Kore lideri Kim Jong-un İskoçya'da restoran açacak,2225, aynı fikirde olmamak
" Bu, büyük ayakların kanıtı mı? Yeni 'yeti' videosu, dev tüylü canavarın ormanda yürüdüğünü gösteriyor",2377, tartışmak
" Apple-HBO Anlaşması, Aylık 15 Dolarlık Web'e Özel Apple TV Yayın Hizmetini Başlatıyor",1534, tartışmak
Son dakika: Ottawa'daki Ulusal Savaş Anıtı'nda asker vuruldu,1089, kabul etmek
" NASA, Nikaragua Meteorit Raporları Hakkında Şüpheleri Artırıyor",1790, tartışmak
 Kanye Yasaklandı,514, tartışmak
" Lynch çetesi, bir genci tecavüz etmeye çalışırken yakaladığı adamın penisini kesti",1959, kabul etmek
" Oscar ödüllü Christian Bale, yakında vizyona girecek biyografik filmde Steve Jobs'ı canlandıracak",458, kabul etmek
" Ottawa saldırısı: Öldürülen askerin adı Nathan Cirillo, şüphelinin adı ise Michael Zehaf-Bibeau olarak belirlendi",1380, kabul etmek
" Raporlar: Cihatçılar Ticari Uçakları Çaldı, 11 Eylül Korkularını Artırdı",2448, tartışmak
" New York Şehri, Küçük Miktarda Esrar Bulundurma Suçundan Tutuklamaları Sonlandırmayı Planlıyor",1368, tartışmak
 X-BOY ile tanışın: Elektrik şoku çocuğu MAGNETO'ya dönüştürüyor,2415, tartışmak
" 48 dakika ölen rahip, Tanrı'yla tanıştığını ve onun bir kadın olduğunu söyledi",1008, kabul etmek
" Meksika, Toplu Mezarda Ölenler Arasında Öğrencilerin Olmadığını Söyledi",1912, tartışmak
" Yedi Liseli Kız Beş Günlük Okul Gezisinde Hamile Kaldı, Ebeveynler Öfkelendi",2304, tartışmak
" Apple'ın Yeni MacBook'u Daha İnce, Daha Temiz, Daha Hızlı 12 İnçlik MacBook Air Olacak",2497, tartışmak
" Seth Rogen, Steve Jobs Biyografisinde Steve Wozniak'ı Canlandıracak",614, tartışmak
 Mekanik kutup ayısı 'Noel şarkıları söylediği için ASBO ile tehdit edildi',2290, tartışmak
"Yani, Vogue'da Fare İstilası Olabilir",2520, tartışmak
" Rapor: Yönetici, blackjack'te koşuşturmacanın ardından 300 bin dolarlık akşam yemeği için yakalandı",1682, tartışmak
 Jeh Johnson: Politikacılar IŞİD ve Ebola Üzerinden 'Korku Alevlerini Beslememeli',1946, tartışmak
 IŞİD Militanları ABD'li Gazeteci James Wright Foley'in Başını Kestiklerini İddia Ediyor,1471, tartışmak
 Teletubbies'deki bebek kendini gösteriyor,2076, kabul etmek
 Majestelerinin sihirli mantarları,2424, kabul etmek
 Meksika protestosunda 40 öğrencinin kaybolmasının ardından toplu mezar bulundu,983, tartışmak
 Yeni politika esrar bulundurma tutuklamalarını azaltabilir,2163, tartışmak
" Abdel-Majed Abdel Bary: Londra Rapçisi, James Foley'i Kafasını Kesen IŞİD Militanı Olarak Tanımlandı",1202, tartışmak
" #IŞİD, ABD'ye #Irak'taki müdahalesine son vermesi için mesaj göndermek amacıyla foto muhabiri James Wright Foley'i başını keserek öldürdü.",2450, kabul etmek
" ABD ve İngiltere, gazeteci James Foley'i kafasını kesen İngiliz asıllı militanı rapçi olarak görüyor",1314, tartışmak
 Apple Watch'taki Gizli Tanılama Bağlantı Noktası Akıllı Bant Aksesuarlarına İzin Verebilir [Güncellendi],664, tartışmak
" IŞİD, ""Amerika'ya Mesaj"" başlıklı videoda, 2012 yılında kaçırılan Amerikalı gazeteci James Wright Foley'in kafasını kesiyor",2524, kabul etmek
 WTC fareleri Anna Wintour'u korkutuyor,1045, kabul etmek
 Macaulay Culkin Öldü: İnternet Ölüm Sahtekarlığı Oyuncunun Dairede Ölü Bulunduğunu İddia Ediyor,2326, kabul etmek
 Teksas-Meksika Sınırında IŞİD Tehdidi Var mı?,2249, tartışmak
Nikaragua'nın başkenti yakınlarında bildirilen patlamanın meteor çarpmasından kaynaklandığı iddia edildi ancak NASA da dahil olmak üzere uzmanlar iddialara şüpheyle yaklaşıyor,1594, kabul etmek
 Meksika'da şüpheli öğrenci katliamının gerçekleştiği yerde 4 mezar daha bulundu,695, tartışmak
" Raporda, Kim Jong-un'un kırık ayak bileklerinin onarılması için ameliyat olduğu iddia edildi",856, tartışmak
" Hayır, Suudi TV, Başkan Kral Selman'la Görüştüğünde Michelle Obama'nın Yüzünü Bulanıklaştırmadı",343, kabul etmek
" Gerçek hayattaki Magneto çocuğu, sokak lambasından gelen büyük elektrik çarpmasının ardından 'yaşayan bir mıknatısa dönüştü'",2215, kabul etmek
 ABD'li rapçi ve Sugarhill Gang'in kurucu üyesi Big Bank Hank 57 yaşında öldü,1831, kabul etmek
" Hayır, o kırık kalem çizimi Banksy'ye ait değil",2375, kabul etmek
 Cihatçı John'un MASKESİ ORTAYA ÇIKARILDI: İslam Devleti katili Batı Londralı Muhammed Emwazi olarak adlandırıldı,1346, tartışmak
" Avukat: Yeni ses kaydı, Michael Brown vurulduğunda silah sesindeki duraklamayı ortaya koyuyor",1446, tartışmak
 Kanada'nın parlamento binasına sadece birkaç adım uzaklıktaki savaş anıtında bir asker vuruldu,321, kabul etmek
 #HairGate: iPhone 6 Müşterileri Telefonun Saçlarını Yolduğundan Şikayetçi,1738, tartışmak
" Rahatlatıcı yemek mi? 26 yaşındaki Çinli kadın, erkek arkadaşı tarafından terk edildikten sonra bir HAFTA KFC'de geçirdi",2043, kabul etmek
'Cihatçı John' Olarak Bilinen Adamın Muhammed Emwazi Olduğu Ortaya Çıktı,2202, tartışmak
" Milletvekili, ""Güney ABD Sınırında En Az 10 İslam Devleti Savaşçısı Yakalandı"" Dedi",2367, tartışmak
 ABD'li rehine Luke Somers kurtarma operasyonu sonrasında hayatını kaybetti,826, tartışmak
 ABD İstihbaratı: Bergdahl Anlaşmasıyla Gitmo'dan Serbest Bırakılan Taliban Adamı Militan Faaliyetlere Geri Döndü,2236, tartışmak
 Luke Somers: İngiltere doğumlu foto muhabiri 'Yemen'deki başarısız kurtarma girişiminin ardından El Kaide tarafından öldürüldü',1187, tartışmak
" Kaçırılan Nijeryalı kız öğrenciler: Hükümet, kayıp kızları eve getirecek Boko Haram ile ateşkes anlaşması yapıldığını iddia ediyor",1419, tartışmak
" Nadir görülen bir meteor çarpması, Nikaragua'nın başkenti Managua'da patlamaya neden oldu",1249, tartışmak
 Shortlands mülkünde bir kasada el bombası bulunduğuna dair doğrulanmamış raporlar,2079, tartışmak
" 'Amerikan bombalaması ölüm fermanımı imzaladı': Kayıp ABD'li gazeteci James Wright Foley, Obama'ya bir uyarı olarak IŞİD'in korkunç videosunda başını kesmesine rağmen yılmadan ölüme gidiyor",2067, kabul etmek
 IŞİD'in ABD'li Gazeteci James Foley'in Kafasını Kesmesi YouTube'a Gönderildi,456, tartışmak
" CNN, Michael Brown saldırısına ait olduğu iddia edilen ürpertici ses kaydını yayınladı: ""En az 11 el ateş""",1916, tartışmak
" RCMP, Michael Zehaf Bibeau'nun saldırı sırasındaki güvenlik kamerası görüntülerini yayınladı, Bibeau'nun bir askeri sırtından vurduğunu söyledi",1380, kabul etmek
"Hükümet, 24 yıl işe gelmeyen çalışanı işten çıkardı",2134, kabul etmek
" Yetkililer, IŞİD lideri Ebubekir el-Bağdadi'nin eşi ve çocuğunun Lübnan'da tutulduğunu söyledi",2268, tartışmak
" Boko Haram lideri ateşkes anlaşmasını yalanladı, kaçırılan 200 kızın evlendirildiğini söyledi",2530, tartışmak
 Gazeteci James Wright Foley'in IŞİD tarafından başının kesildiği bildirildi,1948, tartışmak
 IŞİD'in ele geçirdiği jetlerde savaş pilotlarına eğitim verdiğini gözlem grubu söylüyor,1608, tartışmak
 Vogue'da hala fareler dolaşıyor,2520, tartışmak
 Christian Bale Steve Jobs Filminden Çıktı (Özel),755, kabul etmek
" Kaynaklar: Guns N' Roses'ın Solisti Axl Rose, 52 Yaşında West Hollywood'daki Evinde Ölü Bulundu",2525, tartışmak
 Michael Brown saldırısına ilişkin ses kaydının ortaya çıktığı bildirildi,483, tartışmak
 Devam Eden Şiddet Boko Haram Ateşkesini Tehlikeye Atıyor,600, tartışmak
 Pentagon: IŞİD ABD Silah Paketini Ele Geçirdi,1485, kabul etmek
 IŞİD Amerikalı Gazeteciyi Kafasını Kesti,2450, kabul etmek
 Kötü Bir İngilizce İsimden Kaçınmak İçin Çince Rehber,1789, kabul etmek
" Bu hafta internette sahte olan neydi: Obama'nın barış ödülü, balkabağı baharatlı prezervatifler ve çılgın kış karı",1400, kabul etmek
"Terk edilen sevgili, kız arkadaşı onu terk ettikten sonra penisini kesti",1799, kabul etmek
 Nijerya'da bildirilen saldırıların ardından Boko Haram'ın 'ateşkesi' şüpheyle karşılanıyor,2530, tartışmak
" 400 takipçisinin 'Tanrı'ya daha yakın olabilmeleri için' hadım edilmesini emreden guru, Hindistan'da ağır bedensel zarar verme suçundan soruşturuluyor",2265, tartışmak
 Çok Hızlıydı: Christian Bale Steve Jobs Biyografisinden Vazgeçti,458, aynı fikirde olmamak
" Öldürülen Ottawa tetikçisi Michael Zehaf-Bibeau'nun Quebec, BC'de sabıka kaydı vardı",1554, kabul etmek
 Kaçırılan Gazeteci James Wright Foley'in IŞİD Tarafından İnfaz Edildiği İddia Edildi,578, tartışmak
" Köpek eti çorbası isteyen var mı? Kim Jong-Un, İskoçya'da Kuzey Kore lezzetleri satan bir restoran açmayı düşünüyor",2192, tartışmak
" Milletvekilleri, Parlamento Tepesi'ndeki silahlı saldırıda hayat kurtardığı için çavuşa teşekkür etti",1900, tartışmak
 'Tavanları yediler ve klavyelere pislediler': Vogue'un Dünya Ticaret Merkezi'ndeki yeni ofisini fareler 'ele geçirdi' ve Anna Wintour 'artık orada çalışmak istemiyor',1045, tartışmak
" CNN, Michael Brown'ın Vurulmasıyla İlgili İddia Edilen Kaydı Yayınladı",2434, tartışmak
 Doğrulanmamış raporlara göre ISIS İngiltere rehinesi David Haines'in kafası kesildi,2102, tartışmak
 Nijerya: Ateşkesin bildirilmesinin ardından kaçırılan kız öğrencilerin geri dönmesine yönelik umutlar arttı,1681, tartışmak
 Militan Grup Suriye'de Amerikalı Gazeteciyi Öldürdüğünü Söyledi,1093, tartışmak
"IŞİD, Amerikalı foto muhabiri James Foley'i idam ettiğini iddia ediyor",2147, tartışmak
" Irak Medya Kaynakları, Musul'daki IŞİD Militanlarının Ebola'ya Yakalandığını İddia Ediyor",2060, tartışmak
 Kayıp Amerikalı gazetecinin IŞİD tarafından başının kesildiği bildirildi,991, tartışmak
" Nijerya, Boko Haram ile ateşkes ve kaçırılan kızlar konusunda anlaşmaya vardığını iddia ediyor",1099, tartışmak
 IRAK VE KÜRT MEDYASI HABERLERİ: IŞİD SAVAŞÇILARI EBOLA'YA YAKALANDI,1891, tartışmak
" Kim Jong-Un, 'Kim Jong-un ismini yasakladı'",1857, tartışmak
 Michelle Obama'nın yüzü Suudi devlet televizyonunda bulanıklaştırıldı,1742, aynı fikirde olmamak
 Çalınan Batmobile Davası Çözüldü,1313, tartışmak
Son dakika: Ottawa'daki Ulusal Savaş Anıtı'nda asker vuruldu,2156, kabul etmek
" IŞİD liderinin 'karısının' tutuklanmasında kafalar karıştı, detaylar belirsiz",1877, tartışmak
 Ferguson'dan Yeni Ses Kaydı Michael Brown'ın Vurulmasını Yakalayabilir,693, tartışmak
" Halkla ilişkiler sorumlusu, Robert Plant'in Led Zeppelin'in 500 milyon sterlinlik yeniden yapılanma teklifini reddetmesinin 'saçmalık' olduğunu söyledi",2489, tartışmak
" Seth Rogen, Christian Bale'in canlandırdığı Steve Jobs'la birlikte Steve Wozniak'ı canlandıracak",999, kabul etmek
