Başlık, Vücut Kimliği, Duruş
" #RIPFidel, bir diğer Fidel Castro'nun ölümünden sonra Küba liderinin ölümüyle ilgili asılsız söylentileri körüklüyor",2251,0
" ABD, Somali terör örgütü liderinin ölümünü doğruladı",839,1
 Kuzey Kore'yi Kim Kontrol Edebilir? Kim Yo Jong Hakkında Bildiklerimiz,2470,0
 Dünyanın en eski burgeri,2474,1
İslamcı internet siteleri İsrailli-Kanadalı kadının DEAŞ tarafından kaçırıldığını iddia ediyor: haber,1862,0
" Endişelenmeyin, 'Kahvaltı Kulübü' Yıldızı Judd Nelson Ölmedi",2286,1
" Apple Watch, olabileceği kadar dijital bir doktor olmayacak",1788,0
" BAKIN: Kongre üyesi, IŞİD militanlarının Teksas sınırını geçmeye çalışırken yakalandığını iddia ediyor",2266,0
" Hayır, Irak'ta herhangi bir Ebola vakası yok",2180,1
 Rodney Constantine Facebook sözünü tutuyor ve polise teslim oluyor,2164,1
" Obama yönetimi, kongre üyesinin 'en az on IŞİD savaşçısının Meksika sınırından Teksas'a geçerken yakalandığı' iddiasını yalanladı",2016,1
" Mohammed Emwazi: IŞİD katili olarak tanımlanan 'Cihatçı John', 2010 yılında Afrika'da safari tatilindeyken MI5 tarafından 'durduruldu'",2165,1
 Cihatçı John'un Batı Londra'dan İngiliz bir adam olduğu tespit edildi,2123,0
" Nijerya Boko Haram'la Ateşkes Sağladığını Söylüyor, Peki Doğru Kişiyle mi Görüşüyorlar?",308,0
 Sugarhill Gang Rapçisi 'Big Bank Hank' 57 Yaşında Öldü,1190,1
#HairGate: iPhone 6 Müşterileri Telefonun Saçlarını Yolduğundan Şikayetçi,2088,0
" Uzman, Bunbury'li Dylan Thomas'ın mide örümceği hikayesine şüpheyle yaklaşıyor",1602,0
" Teknik özelliklerdeki sızıntı, Apple Watch'un Android Wear rakipleriyle aynı seviyede olacağını gösteriyor",1277,0
 Kayıp Amerikalı Foto Muhabiri James Foley'in Suriye'de IŞİD Tarafından İnfaz Edildiği Bildirildi,1336,0
 YPG Doğruladı: Gill Rosenberg Kobani'de Yakalanmadı,1168,0
 Vogue'un yeni dükkanında farelerin cirit attığı iddia ediliyor,2031,0
 Lucita Sandoval seks kaseti aldatmacası: Viral Arjantin videosunda üniversite öğrencisi var - 16 yaşındaki bir çocuk değil,2447,1
 72 Milyon Dolar Kazanan Liseli Tüccarın Hikayesi Kontrolden Çıkmış Bir Söylenti,607,0
 Tropikal örümcek apandisit yarasından insanın derisinin altına girdi ve orada ÜÇ GÜN yaşadı,1321,-1
 Tropikal örümcek 'bir adamın derisinin altına yara iziyle girdi' - video raporu,1602,0
 Nikaragua meteor iddiasına şüpheyle yaklaşılıyor,1722,0
 DNA Testleri Lübnan'ın IŞİD Liderinin Çocuğunu Tuttuğunu Doğruladı,2283,0
 Axl Rose ÖLMÜYOR: Sahte MSNBC Ölüm Aldatmacası Facebook'ta Viral Oldu,1271,1
Twitter'daki İnsanlar Macklemore'un IŞİD'e Katıldığını Düşünüyor,1483,0
 Nikaragua'nın başkenti yakınlarında bildirilen patlamanın meteor çarpmasından kaynaklandığı iddia edildi ancak NASA da dahil olmak üzere uzmanlar iddialara şüpheyle yaklaşıyor,1825,0
" Kaynaklar: Guns N' Roses'ın Solisti Axl Rose, 52 Yaşında West Hollywood'daki Evinde Ölü Bulundu",1271,0
 Tanrı bir kadındır - 48 dakika ölen rahip iddia ediyor,526,1
" Tropikal örümcek, insanın derisinin altına giriyor ve orada üç gün yaşıyor",761,1
" Nijerya ile Boko Haram ateşkes anlaşmasına vardı, kaçırılan kızlar serbest bırakılacak, yetkili diyor",2144,0
 Conde Nast'ın One World Trade Center'daki fare sorunu: Kırmızı halılardan kemirgen dışkılarına,2106,0
 IŞİD Ebola'ya Yakalanıyor,938,0
 Weather Channel'dan Mike Seidel pantolonu aşağıdayken yakalanmadı,1046,1
" DSÖ, IŞİD savaşçılarının Ebola'ya yakalandığına dair medya haberlerini araştırıyor",1506,0
" Eski IDF askeri Gill Rosenberg, muhtemelen Kürtlerle savaşırken IŞİD tarafından esir alındı",2142,0
 YPG Doğruladı: Gill Rosenberg Kobani'de Yakalanmadı,1899,0
" New York Şehri, Küçük Miktarda Esrar Bulundurma Suçundan Tutuklamaları Sonlandırmayı Planlıyor",1406,0
 IŞİD'in ABD'li Gazeteci James Wright Foley'i Kamera Önünde Kafasını Kestiği İddia Edildi,2147,0
" İngiliz yardım görevlisi David Haines, IŞİD tarafından başı kesilerek öldürüldü",2348,1
 Cihatçı John'un Batı Londra'dan İngiliz bir adam olduğu tespit edildi,1424,0
"Meksika, toplu mezarda kayıp 43 öğrencinin bulunup bulunmadığını araştırıyor",983,0
 James Foley 'cesur ve yorulmak bilmez' gazeteci olarak anılıyor,2450,1
 RAPOR: Batmobile Detroit'te Çalınmış Olabilir,1529,0
 Ofis partisinde yumurta likörü içen adam hastanelik oldu,1901,1
 Görüş: Aldatmaca – Hiç var olmamış rahip öldüğünü ve dişi Tanrı gördüğünü iddia ediyor,2240,-1
 Cesar Millan Ölmedi: Köpek Terbiyecisi Ölüm Sahtekarlığı Dolaşıyor,979,1
 'Feminist' bebeğini erkek olduğu için kürtaj yaptırdığını söyledi,2526,0
 Rahibe mide ağrılarından şikayetçi... ve DOĞUM YAPTI: Hamile olduğunu 'hiçbir şekilde' bilmeyen kız kardeşin İtalya'daki hastanede bir erkek bebeği var,2479,0
 Boko Haram ile varılan anlaşmanın ardından 200'den fazla kaçırılan Nijeryalı kız serbest bırakılacak,955,1
 Christian Bale Steve Jobs'u canlandırmayacak,1131,0
 Christian Bale Steve Jobs'u canlandırmayacak,2017,0
" Kuzey Kore lideri Kim Jong-un'un gizemli hastalığı aslında iki kırık ayak bileği, diyor gazete",1480,0
" DSÖ, IŞİD savaşçılarının Ebola'ya yakalanıp yakalanmadığını 'araştırıyor'",1778,0
" [Güncellendi] Suudi Devlet Televizyonu, Yeni Suudi Kralıyla Görüşme Sırasında Michelle Obama'nın Yüzünü Bulanıklaştırdı",913,0
"Tom Brokaw, Brian Williams'ın Irak Helikopteri Hikayesi Nedeniyle Kovulmasını İstiyor: Rapor",2176,0
" Boko Haram ateşkesi kabul etti, kız öğrenciler serbest bırakıldı",840,0
 Noel İptal Edildi: Balkabağı Baharatlı Kondomlar Lanet Bir Aldatmaca,2252,1
" Katolik Rahip 48 Dakika Öldü, Hayata Döndü ve Tanrı'nın Kadın Olduğunu İddia Etti",1008,1
" Yürek ısıtan videoda, oğul, Noel hediyesi olarak ebeveynlerinin ipotek borcunu ödediğini açıklıyor",988,1
 Köpekler cennete gider... ve kediler ve atlar: Papa genç çocuğa cennette hayvanlar için de bir yer olduğunu garanti etti,2297,1
 İddiaya Göre Brown'a Ateş Etme Kaydında Silah Sesleri Duyuluyor [SES],483,0
 Boko Haram ile iddia edilen ateşkese rağmen Nijerya'da isyancılar öldürüldü,2530,0
 Lübnan 'DEAŞ liderinin kızını ve eski eşini tutuyor',2268,0
 Kenya'daki alışveriş merkezi katliamını emreden Eş-Şebab liderinin Somali'deki ABD insansız hava aracı saldırısında öldürüldüğü düşünülüyor,839,0
 ABD'li rapçi ve Sugarhill Gang'in kurucu üyesi Big Bank Hank 57 yaşında öldü,2351,1
 Ebola Salgını 2015 Güncellemesi: IŞİD Savaşçıları Ölümcül Virüse Yakalanmış Olabilir,1807,0
Meksika'da 43 Öğrencinin Kaybolduğu Yerin Yakınında Toplu Mezarlar Bulundu,2342,0
" Hayır, 4 Ocak 2015'te Gezegensel Hizalanma Yerçekimini Azaltmayacak",1377,1
 Derisinin Altında Bir Örümceğin Yuva Yaptığını Söyleyen Adam Mı? Uzmanlar Diyor ki…,1602,0
 Eski İngiliz Rapçinin James Foley'in Başının Kesilmesiyle İlgili Soruşturma Altında Olduğu Bildirildi,1530,0
 Christian Bale Sonuçta Steve Jobs'u Oynamayacak,1299,1
" Hayır, o kırık kalem çizimi Banksy'ye ait değil",1532,1
" IŞİD Irak'ta ""Akrep"" Bombaları Saldı",386,0
" #IŞİD, ABD'ye #Irak'taki müdahalesine son vermesi için mesaj göndermek amacıyla foto muhabiri James Wright Foley'i başını keserek öldürdü.",1658,1
" Detroit'te Batmobile mi çalındı? Güzelmiş, joker!",239,1
 Saf Kötülük: İslam Devleti Amerikalı Gazeteci James Wright Foley'i Kafasını Kesti,2047,0
 IŞİD Lideri Öldürüldü: Ebubekir El Bağdadi'nin ABD Hava Saldırısıyla Öldürüldüğü Bildirildi,1473,0
" İki GOP Kongre Üyesi, Şüpheli Teröristlerin ABD-Meksika Sınırını Geçerken Yakalandığını Söyledi",2016,0
 Pentagon: Somali'de hava saldırısında terör lideri öldürüldü,1306,1
 Ottawa Silahlı Saldırganı Michael Zehaf-Bibeau Olarak Tanımlandı,1442,0
GÜNCELLEME: Purdon'da Ebola salgını olduğuna dair internet raporu doğru değil,1625,1
" Dilenci arkadaşlarına 100 dolar yiyeceğe harcayarak YouTube fenomeni haline gelen evsiz adam, yeni videoda sürpriz bir Noel yemeği, makyaj ve otelde bir gece geçiriyor... Peki bunların hepsi bir 'seri şakacı'nın uydurması mı?",1996,0
" Nijerya, Boko Haram ile ateşkes ve kaçırılan kızlar konusunda anlaşmaya vardığını iddia ediyor",1821,0
 Ferguson isyanları: Michael Brown'ın vurulması ses kaydında kaydedilmiş olabilir,1715,0
 Kanadalı Çavuş Kevin Vickers parlamentoda tetikçiyi nasıl öldürdü,1356,0
" Başkan Yardımcısı, Lüks Vegas Yemeğine 300.000 Dolar Harcadı",1268,1
 Kim Jong-un 'Kırık Ayak Bileklerinden Ameliyat Oldu',1296,0
 İç Güvenlik: ABD sınırında IŞİD savaşçısı yok,871,0
" Güç Uyanıyor Haberleri: Yönetmen JJ Abrams, Çok Fazla Spoiler Nedeniyle Star Wars 7'nin Yaz Aylarında Yayınlanmasını Hedefliyor",2084,0
" iPhone Oyun Geliştiricisi, Oyununun İçine Şimdiye Kadarki En Harika İstifa Mektubunu Saklayarak İşinden Ayrıldı",2458,1
" CNN, Michael Brown saldırısına ait olduğu iddia edilen ürpertici ses kaydını yayınladı: ""En az 11 el ateş""",1776,0
"Bu hafta internette sahte olan neydi: Obama'nın barış ödülü, balkabağı baharatlı prezervatifler ve çılgın kış karı",2055,1
 Rahibin Tanrı'yı bir kadın olarak gördüğü iddiası aldatmaca olarak reddedildi,1227,1
 Eş-Şebab Terör Örgütü Lideri ABD Hava Saldırısında Öldürüldü,1176,0
 Nikaragua 'göktaşı' konusunda sorular gündeme geldi,767,0
" Rapor: Yönetici, blackjack'te koşuşturmacanın ardından 300 bin dolarlık akşam yemeği için yakalandı",2111,0
 Michael Brown cinayetinde en az 10 el ateş edildiği iddia edilen ses kaydı,1934,0
" ""Kesinlikle Yanlış"": DHS, IŞİD'in ABD-Meksika Sınırını Geçmeye Çalıştığına Dair Sağcı Kurguyu Çürütüyor",2367,-1
 Sugarhill Gang rapçisi Big Bank Hank 57 yaşında öldü,2080,1
" #IŞİD, ABD'ye #Irak'taki müdahalesine son vermesi için mesaj göndermek amacıyla foto muhabiri James Wright Foley'i başını keserek öldürdü.",419,1
 Samsung'un Apple Watch'ta gizli bir yeni çip ürettiği bildiriliyor,1098,0
 HBO ve Apple Aylık 15 Dolarlık Teklif İçin Görüşüyor Apple TV Yayın Hizmeti Nisan Ayında Başlatılıyor,1074,0
 Toplu mezarda bulunan 28 ceset arasında kayıp Meksikalı öğrenciler yok,1427,1
" Video, Militanlar Tarafından ABD'li Gazetecinin Başının Kesildiğini Gösteriyor",1589,0
 Boko Haram ile varılan anlaşmanın ardından 200'den fazla kaçırılan Nijeryalı kız serbest bırakılacak,2272,-1
 Köpekler cennete gider... ve kediler ve atlar: Papa genç çocuğa cennette hayvanlar için de bir yer olduğunu garanti etti,218,1
Nijerya'nın kayıp kızları 'Boko Haram tarafından serbest bırakılacak' iddiasında hükümet yardımcısı,2530,0
 Kim Jong-un'un Her İki Bileğini Kırdığı ve Hastaneye Kaldırıldığı İddia Ediliyor,1095,0
 Bunbury yerlisi Bali tatilinde derisinin altında bir örümceğin yuva yaptığını keşfetti,986,-1
 Amazon.com Manhattan'daki ilk fiziksel mağazasını açacak: DJ,941,0
 Evsiz adam 100 dolar alıyor... sonra onu nasıl harcadığıyla herkesi şok ediyor,1245,1
 Sahte Haber: 'McDonald's Fazla Kilolu Müşterilere Hizmet Vermeyi Durduracak',2184,-1
 IŞİD Amerikalı Gazeteciyi Kafasını Kesti,2388,0
" Arkadaşları için yiyeceğe 100 dolar bağış yaptıktan sonra yemek ve otel konaklaması alan evsiz adam, yeni bir tanığın gizlice filme alınmış olmasının mümkün olmadığında ısrar etmesine rağmen bunun bir aldatmaca OLMADIĞINDA ısrar ediyor",1996,0
 IŞİD Sınır Krizi: DHS Şefi Teröristlerin Meksika Üzerinden ABD'ye Girmediğini Söyledi,871,0
 Hepiniz kürtaj yaptırdınız! [Google Translate],2248,1
" Christian Bale, Apple'ın kurucu ortağının yakında yayınlanacak biyografisinde Steve Jobs'u canlandıracak",1131,0
" IŞİD Videosu, İngiliz Yardım Görevlisi David Cawthorne Haines'in İnfazını Gösteriyor",2206,1
Nijerya'da bildirilen saldırıların ardından Boko Haram'ın 'ateşkesi' şüpheyle karşılanıyor,1540,-1
 Söylenti çürütüldü: RoboCop tarzı robotlar Microsoft kampüsünde devriye gezmiyor,2529,-1
 Samsung'un Apple Watch'ta gizli bir yeni çip ürettiği bildiriliyor,574,0
" SON DAKİKA HABERİ: IŞİD, ABD'ye Irak'ta eylemi durdurması yönünde uyarıda bulunmak amacıyla kayıp Amerikalı gazeteci James Wright Foley'in kafasını kesti",2386,1
" ABD'deki ""En Eski Zaman Kapsülü"" Boston'da Bulundu",1997,0
" DSÖ, IŞİD savaşçılarının Ebola'ya yakalandığına dair medya haberlerini araştırıyor",2025,0
" James Foley: Amerikalı Gazeteci James Wright Foley, Yeni IŞİD Videosunda Başı Kesildi [Son Dakika Haberleri]",632,0
 Yeni politika esrar bulundurma tutuklamalarını azaltabilir,2163,0
" SON DAKİKA HABERİ: IŞİD, ABD'ye Irak'ta eylemi durdurması yönünde uyarıda bulunmak amacıyla kayıp Amerikalı gazeteci James Wright Foley'in kafasını kesti",1288,0
 'Örümcek Adam' ezildi: Uzmanlar iddiaları çürütüyor,1923,1
 Çalınan jet uçaklarına ilişkin haberler arasında terör korkusu artıyor,1165,0
 Beyaz Saray Çit Atlayıcısı Kadın Muhafızın Yanından İtildi,1274,0
" IŞİD, YouTube Videosunda Amerikalı Foto Muhabirinin Kafasını Kesmiş Gibi Görünüyor",1011,0
" Nijerya, Boko Haram'ın Kaçırılan Kız Öğrencileri Serbest Bırakacağını İddia Ediyor",1821,0
 Saf Kötülük: İslam Devleti Amerikalı Gazeteci James Wright Foley'i Kafasını Kesti,1966,1
 IŞİD lideri Ebubekir el-Bağdadi'nin eşi ve oğlu 'Lübnan sınırında gözaltına alındı',2283,1
" Video, Militanlar Tarafından ABD'li Gazetecinin Başının Kesildiğini Gösteriyor",1336,0
" Kaynak: New York'ta esrar yakında sadece bir ceza getirebilir, tutuklama değil",2163,0
Yedi genç kız okul gezisinde hamile kaldı,1804,1
" Dera Sacha Sauda Şefi 400 Müridini Zorla Hadım Ettirdi mi? CBI, 'MSG: Tanrı'nın Elçisi' Oyuncusuna Karşı Dava Açtı",2265,0
" BATMOBILE ÇALINTI DEĞİL, MTV YARIŞMA ÖDÜLÜ SAHİPLENİLMEDİ",1671,0
 IŞİD'in infazcısı 'Cihatçı John'un Muhammed Emwazi olduğu ortaya çıktı,1198,1
 Boko Haram'ın 'Ateşkesi'nin İhlal Edilmesinin Ardından Kızların Serbest Bırakılmasına Yönelik Umutlar Tükendi,840,0
" İngiliz rehine David Haines, IŞİD teröristleri tarafından başı kesilerek öldürüldü",1757,0
 IŞİD militanları Kürtlere gönderilmesi planlanan silahları ele geçirdi,1010,0
" Mohammed Emwazi: IŞİD katili olarak tanımlanan 'Cihatçı John', 2010 yılında Afrika'da safari tatilindeyken MI5 tarafından 'durduruldu'",997,0
"Tom Brokaw, Brian Williams'ın Irak Helikopteri Hikayesi Nedeniyle Kovulmasını İstiyor: Rapor",1570,0
" Teksas'ta Şeriat Hukukunu Kullanacak İslam Mahkemesi Onaylandı Mahkeme üyeleri, Şeriat'ın ""ceza hukukundan"" kaçınacaklarını söylüyor.",1436,0
 Bebeğimi kürtaj ettirdim çünkü erkekti,2526,0
" Rehine David Haines'in Cinayeti 'Kötülük', Başbakan Diyor",1224,0
 'Hairgate': iPhone 6 kullanıcıları 'bendgate' sonrası Apple'ın son sorunuyla karşı karşıya,2088,0
 RAPOR: Batmobile Detroit'te Çalınmış Olabilir,1737,0
" Apple Watch Pil Ömrü Şu Anda 'Yaklaşık Bir Gün', Ancak 2015 Lansmanında Gelişebilir",1898,0
"Söylenti: Seth Rogen, Sony'nin Steve Jobs Filminde Woz Olarak Görünecek",1002,0
 Pentagon: Militanların ele geçirdiği 1 silah paketi,2200,0
" Apple, güvenilirlik sorunları nedeniyle gelişmiş Apple Watch sağlık izleme özelliklerini iptal etti",1788,0
 Batman V. Superman: Adaletin Şafağı Setinden Batmobile'ın Çalındığı Söylentisi,2062,0
" Brian Williams, NBC Haber Meteoroloji Uzmanının Yayındayken Karda İşemediğinde Israrcı",1333,1
 Ottawa'daki silahlı saldırganın 32 yaşındaki Michael Zehaf-Bibeau olduğu belirlendi,1970,1
 Vogue'da hala fareler dolaşıyor,2064,1
 Ottawa Silahlı Saldırganı Michael Zehaf-Bibeau Olarak Tanımlandı,1554,1
 Sugarhill Gang rapçisi Big Bank Hank 57 yaşında öldü,2035,-1
 Axl Rose 52 Yaşında Sahte Bir İnternet Sitesi Yüzünden Ölü Bulundu,2525,1
 Kim Jong-un 'İSKOÇYA'da yeni bir restoran açmaya hazırlanıyor',2225,0
 IŞİD'in infazcısı 'Cihatçı John'un Muhammed Emwazi olduğu ortaya çıktı,1424,0
 Gerçekten adanmış bir adam kabız olan japon balığının ameliyatı için 460 dolar harcadı,1541,1
" Yaşlı Kadın, Komşusunun Kedilerini Kaçırıp Kürk Mantolar Ürettiği İçin Tutuklandı",1938,1
 Lübnan 'DEAŞ liderinin kızını ve eski eşini tutuyor',931,0
 Son dakika: Ottawa'daki Ulusal Savaş Anıtı'nda asker vuruldu,321,1
" Uzman, Bunbury'li Dylan Thomas'ın mide örümceği hikayesine şüpheyle yaklaşıyor",1880,1
" Irak Sağlık Bakanlığı, IŞİD savaşçılarının Ebola'ya yakalandığına dair haberlerin 'yanlış' olduğunu söyledi",2075,0
" Boko Haram ateşkesi kabul etti, kız öğrenciler serbest bırakıldı",1166,0
" Arkadaşları için yiyeceğe 100 dolar bağış yaptıktan sonra yemek ve otel konaklaması alan evsiz adam, yeni bir tanığın gizlice filme alınmış olmasının mümkün olmadığında ısrar etmesine rağmen bunun bir aldatmaca OLMADIĞINDA ısrar ediyor",1922,0
Irak medyası: IŞİD militanları Ebola'ya yakalandı,1807,0
 'Batman V Superman: Adaletin Şafağı' Setinden Batmobil Çalındı mı? Raporda Batmobil Modellerinden Birinin Kayıp Olduğu İddia Ediliyor! Detroit Yerlileri Sorumlu mu?,2062,0
 IŞİD Lideri El-Bağdadi “Ölmedi”,1889,0
" Paslanmaz çelik Apple Watch sadece 499 dolara mal olabilir, ancak altın 10 kat daha pahalı olacak",2277,0
 Jeh Johnson: Politikacılar IŞİD ve Ebola Üzerinden 'Korku Alevlerini Beslememeli',1931,-1
 Tanrı bir kadındır - 48 dakika ölen rahip iddia ediyor,1521,-1
 IŞİD Savaşçıları ABD-Meksika Sınırını Geçerken Yakalanıyor mu?,2261,0
" Görgü Tanığı: 130.000 Dolar Bağış Toplayan Viral Video ""Saçmalık""",1996,-1
" Fidel Castro Öldü mü? Evet, Öldü... Ama Küba Lideri Yaşıyor, Ölüm Söylentileri Yanlış Çıktı",858,1
 Nikaragua'daki meteor çarpması uzmanları şaşırttı,1249,0
" #IŞİD, ABD'ye #Irak'taki müdahalesine son vermesi için mesaj göndermek amacıyla foto muhabiri James Wright Foley'i başını keserek öldürdü.",2147,0
 Bahşiş vermeyi unutmayın...özellikle 300.000$ harcarsanız,2111,0
 'Cihatçı John' olarak bilinen IŞİD teröristinin kimliğinin ortaya çıktığı bildirildi,2165,0
" #IŞİD, ABD'ye #Irak'taki müdahalesine son vermesi için mesaj göndermek amacıyla foto muhabiri James Wright Foley'i başını keserek öldürdü.",1011,0
" Muhasebeci, Comcast'ın Müşteri Hizmetleri Sorununu Bildirmesi Nedeniyle Kendisini İşten Kovuldurduğunu İddia Ediyor",2405,0
"Rapor: Michael Phelps'in Tinder 'Kız Arkadaşı' Erkek Olarak Doğdu; ""Devre Arasında Seviştik""",1342,0
" Boko Haram lideri ateşkes anlaşmasını yalanladı, kaçırılan 200 kızın evlendirildiğini söyledi",1681,0
" IŞİD, ABD'ye Gönderdiği Korkunç Video Mesajında Kaçırılan Foto Muhabiri James Wright Foley'i Başını Kesti",2495,0
 Boko Haram ile iddia edilen ateşkese rağmen Nijerya'da isyancılar öldürüldü,1540,0
" ABD, El Kaide Bağlantılı Somali Grubunun Liderinin Öldüğünü Söyledi",839,0
 Kuzey Kore lideri yıllık ritüeli kaçırdı; kız kardeşi 'görev devraldı',2477,0
" ACİL: IŞİD, Saklaviye'de klor gazı saldırısıyla 300 Irak askerini öldürdü",2224,0
 Macaulay Culkin Facebook'ta Herkesin Söylediklerine Rağmen Ölmedi,2502,1
" SON DAKİKA: IŞİD, 2012 yılında kaçırılan Amerikalı gazeteci James Wright Foley'in kafasını kesiyor -@BNONews",2388,0
" Ottawa, IŞİD'in Kanadalı-İsrailli bir kadını kaçırdığına dair haberleri araştırıyor",1774,0
 Peynir bağımlılığı Kim Jong-un'un ayak bileklerini kırdı,1972,0
 Şubat Ayında Çıkacak Apple Watch Söylentileri Gerçek mi?,978,0
 Conde Nast'ın One World Trade Center'daki fare sorunu: Kırmızı halılardan kemirgen dışkılarına,1693,0
 [GÜNCELLENDİ] Bu Akşamki ESPN Aile İçi Şiddet Panelinde 11 Erkek ve 0 Kadın,2181,-1
 Müşteri: Comcast şikayeti nedeniyle kovuldum,2438,0
Irak medyası IŞİD militanlarının Ebola'ya yakalandığını söylüyor,1974,0
 Teksaslı tesisatçının kamyonu Suriye'de görüldü: 'Terörle hiçbir ilgimiz yok',450,0
 IŞİD'in videoda ABD'li gazeteciyi öldürdüğü iddia edildi,2147,0
" Kim Jong-Un, 20 taşa kadar şiştikten ve çok sayıda 'halkla tanışma' yürüyüşüyle PR gösterisi yaptıktan sonra 'iki kırık ayak bileğiyle hastanede'",2153,0
 HBO'nun Yeni Ayrık Yayın Hizmeti Lansmanı İçin Apple ile Görüşmelerde Olduğu Bildirildi,1074,0
" Hayır, Banksy o 'Charlie Hebdo' Saygı Karikatürünü Yaratmadı, Ama Bu Onu Takdir Edemeyeceğiniz Anlamına Gelmiyor",1357,1
 Macaulay Culkin öldü: Çocuk oyuncuya bir kez daha ölüm şakası yapıldı,2341,1
" Hindistan: 400 adam, 'guru'nun tavsiyesi üzerine 'Tanrı'ya yakınlaşmak' amacıyla testislerini kesti",2336,1
" IŞİD, ABD'li gazetecinin kafasını kestiğini iddia ediyor",1948,0
 Obama: James Foley cinayeti 'tüm dünyanın vicdanını sarstı',2450,1
" NASA, Nikaragua'daki kraterin meteordan kaynaklanıp kaynaklanmadığını sorguluyor",2154,0
 Toplu mezarlarda bulunan cesetler arasında Meksikalı öğrenciler yok,2334,0
Michael Brown'ın vurulduğu anı ses kaydının kaydettiği iddia ediliyor,2149,0
" IŞİD militanlarının, kaçırılan Amerikalı gazeteci James Wright Foley'in kafasını kestiği çarpıcı videoda ortaya çıktı",1093,0
 Nikaragua'nın Başkenti Managua'da Küçük Meteor Düştü,966,1
