Headline,Body ID,Stance
Obama administration DENIES congressman's claim that 'at least ten ISIS fighters have been caught coming across the Mexican border in Texas',2016,1
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,2165,1
Jihadi John ‘identified as British man from West London’,2123,0
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",308,0
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,1190,1
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,2088,0
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1602,0
Spec leak suggests Apple Watch will be on par with Android Wear rivals,1277,0
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",1336,0
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1168,0
Vogue's new digs are reportedly swarming with rats,2031,0
Lucita Sandoval sex tape hoax: Viral Argentine video features college student ― not 16-year-old boy,2447,1
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,607,0
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1321,-1
Tropical spider 'burrowed under man's skin through scar' - video report,1602,0
Doubts cast over Nicaragua meteorite claim,1722,0
DNA Tests Confirm Lebanon Is Holding ISIS Leader’s Child,2283,0
Axl Rose NOT Dead: Fake MSNBC Death Hoax Goes Viral On Facebook,1271,1
People On Twitter Think Macklemore Has Joined ISIS,1483,0
"Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims",1825,0
Sources: Guns N' Roses Frontman Axl Rose Found Dead in West Hollywood Home at Age 52,1271,0
God is a woman- Priest who died for 48 minutes claims,526,1
"Tropical spider burrows under man's skin, lives there for three days",761,1
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",2144,0
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,2106,0
ISIS Getting Ebola,938,0
Weather Channel’s Mike Seidel was not caught with his pants down,1046,1
WHO investigates media reports ISIS fighters contracted Ebola,1506,0
"Gill Rosenberg, former IDF soldier, possibly captured by ISIS while fighting with Kurds",2142,0
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1899,0
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,1406,0
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2147,0
British aid worker David Haines beheaded by ISIL,2348,1
Jihadi John ‘identified as British man from West London’,1424,0
Mexico checks if 43 missing students in mass grave,983,0
James Foley remembered as 'brave and tireless' journalist,2450,1
REPORT: The Batmobile Might Have Been Stolen In Detroit,1529,0
Chugging eggnog at office party lands man in hospital,1901,1
"Op-Ed: Hoax – Priest who never existed claims he died, saw female God",2240,-1
Cesar Millan is Not Dead: Dog Whisperer Death Hoax Circulates,979,1
‘Feminist’ says she aborted baby because it was a boy,2526,0
Nun complains of stomach pains... and GIVES BIRTH: Sister who had 'no idea' she was pregnant has a baby boy at hospital in Italy,2479,0
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,955,1
Christian Bale will not play Steve Jobs,1131,0
Christian Bale will not play Steve Jobs,2017,0
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1480,0
WHO ‘probing’ whether ISIS fighters got Ebola,1778,0
[Updated] Saudi State Television Allegedly Blurs Michelle Obama’s Face During Meeting With New Saudi King,913,0
Tom Brokaw Wants Brian Williams Fired Over Iraq Helicopter Story: Report,2176,0
"Boko Haram agrees to ceasefire, release of school girls",840,0
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,2252,1
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",1008,1
Heartwarming video shows son revealing he’s paid off parent’s mortgage as a Christmas gift,988,1
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",2297,1
Shots Heard In Alleged Brown Shooting Recording [AUDIO],483,0
Insurgents killed in Nigeria despite alleged truce with Boko Haram,2530,0
Lebanon 'holding IS leader's daughter and ex-wife',2268,0
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,839,0
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",2351,1
Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,1807,0
"Mass Graves Found In Mexico, Near Place Where 43 Students Went Missing",2342,0
"No, a Planetary Alignment on Jan. 4, 2015, Won’t Decrease Gravity",1377,1
The Guy Who Said a Spider Burrowed Under His Skin? Experts Say…,1602,0
Former British Rapper Reportedly Under Investigation for James Foley Beheading,1530,0
Christian Bale Won't Play Steve Jobs After All,1299,1
"No, that broken pencil illustration isn't by Banksy",1532,1
"ISIS Unleash ""Scorpion"" Bombs In Iraq",386,0
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1658,1
"Batmobile stolen in Detroit? Good one, joker!",239,1
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,2047,0
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1473,0
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,2016,0
Pentagon: Airstrike killed terror leader in Somalia,1306,1
Ottawa Gunman Identified As Michael Zehaf-Bibeau,1442,0
UPDATE: Internet report of Ebola outbreak in Purdon not true,1625,1
"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",1996,0
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",1821,0
Ferguson riots: audio may have captured Michael Brown shooting,1715,0
How Canadian Sergeant-at-Arms Kevin Vickers killed shooter in parliament,1356,0
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1268,1
Kim Jong-un 'Had Surgery on Fractured Ankles',1296,0
Homeland Security: No ISIL fighters on U.S. border,871,0
The Force Awakens News: Director J.J. Abrams Eyes Summer Release for Star Wars 7 Because of Too Many Spoilers,2084,0
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,2458,1
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1776,0
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",2055,1
Priest' claim of seeing God as a woman dismissed as hoax,1227,1
Al-Shabaab Terror Group Leader Killed in U.S. Airstrike,1176,0
Questions raised over Nicaragua 'meteorite',767,0
Report: Exec popped for $300k dinner after run at blackjack,2111,0
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,1934,0
"""Categorically False"": DHS Debunks Right-Wing Fiction That ISIS Attempted To Cross The U.S.- Mexico Border",2367,-1
Sugarhill Gang rapper Big Bank Hank dead at 57,2080,1
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,419,1
Samsung is reportedly making a secret new chip in the Apple Watch,1098,0
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1074,0
Missing Mexico students not among 28 bodies found in mass grave,1427,1
Video Purports To Show Beheading Of U.S. Journalist By Militants,1589,0
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2272,-1
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",218,1
"Nigeria's missing girls 'to be released by Boko Haram', government aide claims",2530,0
"Kim Jong-un Broke Both Ankles and Is Hospitalized, Report Claims",1095,0
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,986,-1
Amazon.com to open first physical store in Manhattan: DJ,941,0
Homeless man receives $100... then shocks everyone with how he spends it,1245,1
Fake-News: 'McDonald's Will Stop Serving Overweight Customers',2184,-1
ISIS Beheads American Journalist,2388,0
Homeless man who received a meal and hotel stay after spending $100 donation on food for friends insists it was NOT a hoax – despite new witness insisting there was no way he could have been secretly filmed,1996,0
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,871,0
You all had an abortion! [Google Translate],2248,1
Christian Bale set to play Steve Jobs in forthcoming biopic of Apple co-founder,1131,0
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",2206,1
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1540,-1
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,2529,-1
Samsung is reportedly making a secret new chip in the Apple Watch,574,0
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2386,1
"""Oldest Time Capsule"" in U.S. Unearthed in Boston",1997,0
WHO investigates media reports ISIS fighters contracted Ebola,2025,0
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",632,0
New policy could reduce marijuana possession arrests,2163,0
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1288,0
'Spiderman' squished: Experts debunk claims,1923,1
Terrorism fears rise amid reports of stolen jetliners,1165,0
White House Fence Jumper Pushed Past Female Guard,1274,0
ISIS Appears To Behead American Photojournalist In YouTube Video,1011,0
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,1821,0
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,1966,1
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',2283,1
Video Purports To Show Beheading Of U.S. Journalist By Militants,1336,0
"Source: Pot in NYC may soon net just a ticket, not arrest",2163,0
Seven teenage girls get pregnant on school trip,1804,1
Dera Sacha Sauda Chief Forced Castration of 400 Devotees? CBI Files Case Against 'MSG: The Messenger of God' Actor,2265,0
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",1671,0
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1198,1
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,840,0
British hostage David Haines beheaded by Islamic State terrorists,1757,0
ISIS fighters seize weapons airdrop meant for Kurds,1010,0
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,997,0
Tom Brokaw Wants Brian Williams Fired Over Iraq Helicopter Story: Report,1570,0
"Islamic Tribunal Using Sharia Law In Texas Has Been Confirmed Tribunal members say they will avoid Sharia's ""criminal law.""",1436,0
I aborted my baby because it was a boy,2526,0
"Hostage David Haines' Murder 'Evil', PM Says",1224,0
'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',2088,0
REPORT: The Batmobile Might Have Been Stolen In Detroit,1737,0
"Apple Watch Battery Life Currently 'About a Day', but May Improve for 2015 Launch",1898,0
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,1002,0
Pentagon: 1 weapons bundle seized by militants,2200,0
Apple scrapped advanced Apple Watch health monitoring features due to reliability issues,1788,0
Batmobile Rumored To Have Been Stolen From Batman V. Superman: Dawn Of Justice Set,2062,0
Brian Williams Insists NBC News Meteorologist Did Not Pee in the Snow While on Air,1333,1
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,1970,1
Rats are still running around at Vogue,2064,1
Ottawa Gunman Identified As Michael Zehaf-Bibeau,1554,1
Sugarhill Gang rapper Big Bank Hank dies aged 57,2035,-1
Axl Rose Found Dead of Sh*tty Hoax Website at Age 52,2525,1
Kim Jong-un 'set to open a new restaurant in SCOTLAND',2225,0
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1424,0
A really devoted man spent $460 on surgery for his constipated goldfish,1541,1
Elderly Woman Arrested for Kidnapping Neighbor's Cats & Making Fur Coats,1938,1
Lebanon 'holding IS leader's daughter and ex-wife',931,0
Breaking: Soldier shot at National War Memorial in Ottawa,321,1
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1880,1
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2075,0
"Boko Haram agrees to ceasefire, release of school girls",1166,0
Homeless man who received a meal and hotel stay after spending $100 donation on food for friends insists it was NOT a hoax – despite new witness insisting there was no way he could have been secretly filmed,1922,0
Iraqi media: ISIS militants have contracted Ebola,1807,0
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,2062,0
Islamic State Leader al-Baghdadi “Not Dead”,1889,0
"Stainless steel Apple Watch could cost just $499, but gold will be 10 times as pricey",2277,0
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",1931,-1
God is a woman- Priest who died for 48 minutes claims,1521,-1
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,2261,0
"Eyewitness: Viral Video That Netted $130K in Donations ""is Bullshit""",1996,-1
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",858,1
Meteorite strike in Nicaragua puzzles experts,1249,0
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2147,0
"Don't forget to tip...especially if you spend $300,000",2111,0
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2165,0
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1011,0
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,2405,0
Report: Michael Phelps’ Tinder ‘Girlfriend’ Was Born Male; “We Made Love During Halftime”,1342,0
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",1681,0
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,2495,0
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1540,0
"Leader of Qaeda-Linked Somali Group Is Dead, U.S. Says",839,0
N Korean leader misses annual ritual; sister ‘takes over duties’,2477,0
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,2224,0
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,2502,1
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",2388,0
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1774,0
Cheese addiction breaks Kim Jong-un's ankles,1972,0
Are Rumors of the Apple Watch in Feb True?,978,0
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,1693,0
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,2181,-1
Customer: I was fired for Comcast complaint,2438,0
Iraqi media says ISIS militants have contracted Ebola,1974,0
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',450,0
ISIL allegedly kills US journalist in video,2147,0
Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,2153,0
HBO Reportedly in Talks with Apple for Launch of New Unbundled Streaming Service,1074,0
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1357,1
Macaulay Culkin dead: The death hoax is once again on the child actor,2341,1
India: 400 men cut off their testicles to 'get closer to God' following advice from 'guru',2336,1
Isis claims to behead US journalist,1948,0
Obama: murder of James Foley 'shocks the conscience of the entire world',2450,1
Nasa questions whether crater in Nicaragua caused by meteorite,2154,0
Mexican students not among bodies found in mass graves,2334,0
Audio recording allegedly captures moment Michael Brown was shot,2149,0
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1093,0
Small Meteorite Strikes in Nicaragua's Capital City of Managua,966,1
Report: Secret Service Lied About White House Fence Jumper,1365,0
"North Korean leader Kim Jong-un not missing, just having ankle surgery",2153,0
Jordan’s King May Participate Personally In ISIS Raids,2490,0
‘Jihadi John’: The Islamic State killer behind the mask is a young Londoner,1489,0
Elderly Woman Arrested for Kidnapping Neighbor's Cats & Making Fur Coats,529,1
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1744,0
Official: Gitmo prisoner traded for Bergdahl reaching out to Taliban,2159,0
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,1540,-1
"In Moscow, police are looking for a felon, cut the male genitals",516,1
CNN Airs Alleged Audio from Michael Brown Shooting,2220,0
Eyewitness Says Viral Video of Homeless Man Was Staged,1388,0
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,938,0
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,2123,0
Mexican students not among bodies found in mass graves,1822,0
"UK spies identify Foley’s killer, Abdel-Majed Abdel Bary a key suspect",1598,0
Teen Makes $72 Million on the Stock Market,1781,0
[Updated] Saudi State Television Allegedly Blurs Michelle Obama’s Face During Meeting With New Saudi King,2453,0
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,2142,0
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",2144,0
"No, Vladimir Putin did not get pooped on by a bird during a First World War speech",2081,1
Tiger Woods serving secret PED suspension?,757,0
North Korean dictator Kim Jong-Un to open restaurant in Scotland,625,0
The 'cub of Baghdadi': Has this boy become the youngest victim of Isis’s use of child soldiers?,908,0
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",2261,0
CPWD official sacked for absence from duty for 25 years,932,1
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1948,0
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,550,1
"Islamic State training fighter pilots in captured jets, monitoring group says",1341,0
Microsoft turns to robotic security guards to watch for trouble,2228,1
"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",2251,0
DNA Tests Confirm Lebanon Is Holding ISIS Leader’s Child,2337,0
Obama: murder of James Foley 'shocks the conscience of the entire world',2067,1
Sergeant-at-Arms stopped shooter on Parliament Hill,1631,0
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',474,1
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,1891,0
Russian Man Wakes Up to Find His Testicles Have Been Stolen,573,0
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1923,-1
There was never a panel discussion on domestic violence planned for ESPN’s ‘Monday Night Football’ pregame show,2181,1
Insurgents killed in Nigeria despite alleged truce with Boko Haram,227,0
"Source: Pot in NYC may soon net just a ticket, not arrest",873,0
"Obama, Outraged Over Beheading, Vows to Stay on Course",2388,0
"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",169,0
"Bosnia: Seven underage girls return from five day school trip, pregnant",2170,1
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",738,1
The news of Cesar Millan's death is false,1796,1
"Catholic priest dies for 48 mins, wakes up claiming God is a woman",2515,1
'The youngest martyr - the cub of al-Baghdadi': ISIS boasts a 10-year-old fighter has been killed as he went into battle with his father in Syria,1785,0
Mexican students not among bodies found in mass graves,983,0
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,1543,0
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',699,-1
REPORT: JETLINERS STOLEN FROM LIBYA COULD BE USED TO ATTACK U.S. ON 9/11,508,0
Isis claims to behead US journalist,1016,0
Robot security guards now patrolling Microsoft's Silicon Valley campus,2529,1
"Brian Williams: No, Our Meteorologist Was Not Peeing on Live TV",2034,1
"Vice's Shane Smith drops $300,000 on Vegas dinner",1834,1
Christian Bale in Talks to Play Steve Jobs (Exclusive),729,0
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1040,0
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,1029,1
"BREAKING NEWS: Female American aid worker, 26, held hostage by ISIS for 18 months has been 'killed in Jordanian air strike'",2376,0
US officials: Video shows American's execution,991,0
iOS 8 bug could delete your iCloud Drive documents,2033,0
A viral photo in China shows how to manipulate App Store rankings the hard way,1784,0
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1589,1
Amazon plans a streaming-video alternative,1048,0
"Boko Haram Could Release Kidnapped Girls, Nigerian Officials Say",1099,0
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2529,1
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,2374,1
Report: Apple Watch to Ship in March,376,0
British Man Slaps People If They Sneeze In Public,1897,1
James Foley remembered as 'brave and tireless' journalist,578,0
"Rumor: Apple shooting for 19 hours of Apple Watch battery life under normal conditions, 2.5 hours 'heavy' use",1153,0
"ISIS Unleash ""Scorpion"" Bombs In Iraq",1251,1
"Apple Watch Gold Edition may cost as much as $5,000",1700,0
Iraqi media: ISIS militants have contracted Ebola,1355,0
Mum Offers to Sell Twin Boy to Save Twin Girl,1562,1
Weather Channel’s Mike Seidel was not caught with his pants down,1926,1
“Willie Nelson dead 2015” : Guitarist killed by internet death hoax,1869,-1
Prisoner Released in Bergdahl Exchange Tried to Reconnect With Taliban,2236,0
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',2075,0
Nicaragua asks U.S. for help investigating meteorite crater,1622,0
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,1746,0
Durex is not confirming or denying rumors of a “pumpkin spice” condom,1708,0
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,1340,0
Report: Taliban Detainee Swapped for Bowe Bergdahl Suspected of Trying to Return to Terrorism,773,0
"Bosnia: Seven underage girls return from five day school trip, pregnant",1667,0
Nicaragua says meteorite probable cause of blast in capital,2264,0
Rapper Big Bank Hank of Sugarhill Gang dies at 57,1190,1
Report: Apple Watch Will Need Charging Every Day,1898,0
"Boko Haram claims to have German hostage, denies ceasefire",1885,1
"NYPD to stop arresting for low-level marijuana charges, will issue tickets instead: source",2372,0
"Batmobile stolen in Detroit? Good one, joker!",1737,1
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,1673,1
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,1202,0
BREAKING: British-born hostage 'KILLED in failed rescue attempt',1187,0
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",2403,0
NASA Raises Doubts About Reports of Nicaraguan Meteorite,2154,0
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",804,1
Macaulay Culkin Victim of Another Online Death Hoax,2326,1
Give a homeless man $100 and see what he does with it [Video],2132,-1
Crank-Boosting Behind Top Apps in App Store,1132,0
Seth Rogen to play Woz in Jobs biopic,1746,0
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,1732,0
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1139,0
Macaulay Culkin Dead?,1752,0
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,2287,0
Michael Brown shooting audio caught on tape?,483,0
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,1398,0
Missing Mexico students not among 28 bodies found in mass grave,1822,0
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,2448,0
James Foley remembered as 'brave and tireless' journalist,782,1
ISIS Video Purports To Show Beheading Of British Aid Worker,1989,0
David Haines beheading video confirmed genuine; UK PM Cameron vows to hunt down ISIS 'monsters',2241,0
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",742,0
God Is A Woman – Resurrected Father Narated,1521,-1
Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,699,1
US officials: Video shows American's execution,337,0
Unconfirmed reports claim Canadian-Israeli Gill Rosenberg captured by ISIS,2037,0
Two blokes dared to eat 20-year-old burger for charity,1311,0
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",2340,0
Kim Jong-un: Absent North Korean leader is 'recovering from ankle surgery',1296,0
Hospital: Man not being treated for Ebola in Kansas City,2104,1
Has J.J. Abrams Asked for THE FORCE AWAKENS Release Date to be Moved Up?,1393,0
Saudi fatwa banning snowmen triggers heated debate,2456,1
Ottawa Gunman Identified As Michael Zehaf-Bibeau,1329,0
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1934,0
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,2025,0
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1355,0
Female teacher facing sack after making SEX TAPE with teenager,1496,1
Mexico checks if 43 missing students in mass grave,2342,0
Zack Snyder’s ‘Batman V Superman: Dawn Of Justice’ Stolen Batmobile Rumor Put To Rest,2519,1
Michelle Obama's Hair Appeared Totally Uncensored on Saudi TV,1742,1
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1829,0
"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",1429,0
